Event,Timestamp,Score,Correct
green,0.9160902500152588,0,True
green,0.6895718574523926,1,True
green,0.5114989280700684,1,True
green,0.892894983291626,2,True
green,0.4782860279083252,2,True
green,0.5089092254638672,2,True
green,0.647183895111084,3,True
green,0.5532000064849854,3,True
green,0.5073490142822266,3,True
red,0.5417580604553223,3,True
green,0.9252059459686279,4,True
green,0.5417330265045166,4,True
green,0.5073709487915039,4,True
red,0.5415160655975342,4,True
green,0.5465331077575684,4,True
green,0.9968490600585938,5,True
green,0.5050418376922607,5,True
green,0.48028016090393066,5,True
red,0.5056440830230713,5,True
green,0.5121169090270996,5,True
red,0.508995771408081,5,True
green,0.9213030338287354,6,True
green,0.44008779525756836,6,True
green,0.47449588775634766,6,True
red,0.47742199897766113,6,True
green,0.4729781150817871,6,True
red,0.5440423488616943,6,True
green,0.5470461845397949,6,True
green,0.894352912902832,7,True
green,0.4732820987701416,7,True
green,0.512200117111206,7,True
red,0.5414769649505615,7,True
green,0.5427639484405518,7,True
red,0.5444967746734619,7,True
green,0.5734291076660156,7,True
green,0.5759851932525635,7,True
green,1.0957670211791992,8,True
green,0.4742112159729004,8,True
green,0.5078310966491699,8,True
red,0.5079050064086914,8,True
green,0.5067248344421387,8,True
red,0.5699803829193115,8,True
green,0.5405068397521973,8,True
green,0.5124781131744385,8,True
green,0.4749448299407959,8,True
green,0.9552671909332275,9,True
green,0.4388749599456787,9,True
green,0.5050663948059082,9,True
red,0.5434970855712891,9,True
green,0.5084919929504395,9,True
red,0.541060209274292,9,True
green,0.5502190589904785,9,True
green,0.538536787033081,9,True
green,0.5409560203552246,9,True
yellow,0.5767219066619873,9,True
green,1.299530029296875,10,True
green,0.5415072441101074,10,True
green,0.505378007888794,10,True
red,0.5820441246032715,10,True
green,0.5418272018432617,10,True
red,0.6133749485015869,10,True
green,0.579617977142334,10,True
green,0.5425059795379639,10,True
green,0.5409610271453857,10,True
yellow,0.5810918807983398,10,True
blue,0.53963303565979,10,True
green,1.2926199436187744,11,True
green,0.5426652431488037,11,True
green,0.5414841175079346,11,True
red,0.5435190200805664,11,True
green,0.5726656913757324,11,True
red,0.5767772197723389,11,True
green,0.5782613754272461,11,True
green,0.6175699234008789,11,True
green,0.6092710494995117,11,True
yellow,0.5442018508911133,11,True
blue,0.5375809669494629,11,True
red,0.6110060214996338,11,True
green,1.3305690288543701,12,True
green,0.4406089782714844,12,True
green,0.5446679592132568,12,True
red,0.5038697719573975,12,True
green,0.5124669075012207,12,True
red,0.5413970947265625,12,True
green,0.541539192199707,12,True
green,0.5103509426116943,12,True
green,0.5737979412078857,12,True
yellow,0.5410928726196289,12,True
blue,0.5757639408111572,12,True
red,0.6107850074768066,12,True
red,2.8468620777130127,12,True
green,1.1276600360870361,13,True
green,0.6092638969421387,13,True
green,0.508735179901123,13,True
yellow,1.3557350635528564,13,False
red,1.3635849952697754,0,True
red,0.784398078918457,1,True
red,0.5422258377075195,1,True
red,1.062178134918213,2,True
red,0.5757791996002197,2,True
