Event,Timestamp,Score,Correct
yellow,0.8202571868896484,0,True
yellow,0.7869307994842529,1,True
blue,0.6787190437316895,1,True
yellow,1.0966269969940186,2,True
blue,0.6748688220977783,2,True
blue,0.5405781269073486,2,True
yellow,1.0247061252593994,3,True
blue,0.5456972122192383,3,True
blue,0.5056829452514648,3,True
yellow,0.5448307991027832,3,True
yellow,0.9881091117858887,4,True
blue,0.5430660247802734,4,True
blue,0.47765398025512695,4,True
yellow,0.6060349941253662,4,True
green,0.5093369483947754,4,True
yellow,1.2666161060333252,5,True
blue,0.5095548629760742,5,True
blue,0.6463882923126221,5,True
yellow,0.6101651191711426,5,True
green,0.6098120212554932,5,True
green,0.6425130367279053,5,True
yellow,1.1678037643432617,6,True
blue,0.5750091075897217,6,True
blue,0.714343786239624,6,True
yellow,0.5751261711120605,6,True
green,0.6103897094726562,6,True
green,0.6100280284881592,6,True
yellow,0.6104280948638916,6,True
yellow,0.6283471584320068,7,True
blue,0.5767629146575928,7,True
blue,0.6434788703918457,7,True
yellow,0.6156449317932129,7,True
green,0.6444299221038818,7,True
green,0.6421890258789062,7,True
yellow,0.5738842487335205,7,True
yellow,0.649702787399292,7,True
yellow,1.190981149673462,8,True
blue,0.9494400024414062,8,True
blue,0.6746900081634521,8,True
yellow,0.5771970748901367,8,True
green,0.6121940612792969,8,True
green,0.6764171123504639,8,True
yellow,0.778651237487793,8,True
yellow,0.6127066612243652,8,True
blue,0.5716278553009033,8,True
yellow,1.3311150074005127,9,True
blue,0.5784549713134766,9,True
blue,0.5754251480102539,9,True
yellow,0.6456310749053955,9,True
green,0.5783669948577881,9,True
green,0.680487871170044,9,True
yellow,0.6454870700836182,9,True
yellow,0.6074082851409912,9,True
blue,0.6103663444519043,9,True
yellow,0.6448578834533691,9,True
yellow,2.350245237350464,10,True
blue,0.5767748355865479,10,True
blue,0.5743958950042725,10,True
yellow,0.5795187950134277,10,True
green,0.5361499786376953,10,True
green,0.6430172920227051,10,True
yellow,0.578218936920166,10,True
yellow,0.6106300354003906,10,True
blue,0.6460309028625488,10,True
yellow,0.6454849243164062,10,True
blue,0.6430177688598633,10,True
yellow,1.7423570156097412,11,True
green,1.3907320499420166,11,False
red,0.9893131256103516,0,True
red,0.5856001377105713,1,True
red,0.6486620903015137,1,True
red,0.9583590030670166,2,True
red,0.5063691139221191,2,True
green,0.6411268711090088,2,True
red,0.9253349304199219,3,True
red,0.6136460304260254,3,True
green,0.5765111446380615,3,True
red,0.6451029777526855,3,True
red,1.0607407093048096,4,True
red,0.5092260837554932,4,True
green,0.5426092147827148,4,True
red,0.5063700675964355,4,True
green,0.5751612186431885,4,True
red,1.5366899967193604,5,True
red,0.5040791034698486,5,True
green,0.5782511234283447,5,True
red,0.5070750713348389,5,True
green,0.5418848991394043,5,True
green,0.5144028663635254,5,True
red,1.3317511081695557,6,True
red,0.5788311958312988,6,True
green,0.5770220756530762,6,True
red,0.645535945892334,6,True
green,0.6474030017852783,6,True
green,0.610774040222168,6,True
red,0.6096079349517822,6,True
red,0.7542159557342529,7,True
red,0.5404400825500488,7,True
green,0.5065720081329346,7,True
red,0.5408918857574463,7,True
green,0.645488977432251,7,True
green,0.5403797626495361,7,True
red,0.6114101409912109,7,True
red,0.5757699012756348,7,True
