Event,Timestamp,Score
green,1.0942819118499756,0
green,1.3606030941009521,1
green,0.47638821601867676,1
green,0.9845187664031982,2
green,0.6771388053894043,2
blue,0.6471958160400391,2
green,1.501802921295166,3
green,0.5066072940826416,3
blue,0.5076339244842529,3
blue,0.5111501216888428,3
green,1.2285969257354736,4
green,0.5442960262298584,4
blue,0.640998125076294,4
blue,0.5446977615356445,4
blue,0.6097269058227539,4
green,1.3935351371765137,5
green,0.507483959197998,5
blue,0.6139059066772461,5
blue,0.6105449199676514,5
blue,0.6427781581878662,5
red,1.1211891174316406,5
green,1.1575636863708496,6
green,0.6083660125732422,6
blue,0.6471879482269287,6
blue,0.6101508140563965,6
blue,0.6785991191864014,6
red,0.7125120162963867,6
red,0.5768702030181885,6
green,1.1610372066497803,7
green,0.6076860427856445,7
blue,0.6441860198974609,7
blue,0.6414179801940918,7
blue,0.7105321884155273,7
red,0.6775822639465332,7
red,0.6803169250488281,7
green,0.7471380233764648,7
green,2.517115354537964,8
green,0.5419421195983887,8
blue,0.6471657752990723,8
blue,0.606748104095459,8
blue,0.7123630046844482,8
red,0.7782149314880371,8
red,0.6419520378112793,8
green,0.7125990390777588,8
yellow,1.1514461040496826,8
green,2.755765914916992,9
green,0.6080930233001709,9
blue,0.6455371379852295,9
blue,0.5757346153259277,9
blue,0.7132689952850342,9
red,0.7158687114715576,9
red,0.6772468090057373,9
green,0.7465469837188721,9
yellow,0.94464111328125,9
blue,0.8478419780731201,9
green,2.5934391021728516,10
green,0.5407242774963379,10
blue,0.6126337051391602,10
blue,0.6103360652923584,10
blue,0.8477199077606201,10
red,0.7449488639831543,10
red,0.6762721538543701,10
green,0.7101850509643555,10
yellow,0.7125403881072998,10
blue,0.7103939056396484,10
yellow,223.00707483291626,0
yellow,0.6492390632629395,1
green,0.44083285331726074,1
yellow,1.0573177337646484,2
green,1.3594000339508057,2
green,0.4377608299255371,2
yellow,1.2985126972198486,3
green,1.0874450206756592,3
green,0.5424959659576416,3
blue,0.9162778854370117,3
yellow,1.2252161502838135,4
green,0.6791901588439941,4
green,0.5086960792541504,4
blue,0.6120707988739014,4
blue,0.4760749340057373,4
yellow,1.0227599143981934,5
green,1.692410945892334,5
green,0.4754362106323242,5
blue,0.6821632385253906,5
