Event,Timestamp,Score,Correct
blue,1.9072279930114746,0,True
blue,0.9221508502960205,1,True
blue,0.5083200931549072,1,True
blue,1.8337328433990479,2,True
blue,0.5072789192199707,2,True
green,0.5102479457855225,2,True
blue,2.4495291709899902,3,True
blue,0.4377870559692383,3,True
green,0.5746860504150391,3,True
yellow,0.6128237247467041,3,True
blue,1.3955779075622559,4,True
blue,0.5778610706329346,4,True
green,0.6780328750610352,4,True
yellow,0.6800689697265625,4,True
yellow,0.6115689277648926,4,True
blue,1.332292079925537,5,True
blue,0.5045478343963623,5,True
green,0.643096923828125,5,True
yellow,0.779263973236084,5,True
yellow,0.6074368953704834,5,True
green,0.7471528053283691,5,True
blue,1.3623788356781006,6,True
blue,0.6080551147460938,6,True
green,0.7131989002227783,6,True
yellow,0.7409782409667969,6,True
yellow,0.6462478637695312,6,True
green,0.7781708240509033,6,True
green,0.7068870067596436,6,True
blue,1.3966648578643799,7,True
blue,0.5739138126373291,7,True
green,0.744844913482666,7,True
yellow,0.7474288940429688,7,True
yellow,0.6412606239318848,7,True
green,0.7468860149383545,7,True
green,0.6428160667419434,7,True
yellow,0.6780149936676025,7,True
blue,3.0615222454071045,8,True
blue,0.6415908336639404,8,True
green,2.0369298458099365,8,True
yellow,0.7439708709716797,8,True
yellow,0.6087479591369629,8,True
green,0.7145500183105469,8,True
green,0.6439738273620605,8,True
yellow,0.7131040096282959,8,True
blue,0.6466362476348877,8,True
blue,2.235534191131592,9,True
blue,0.5776269435882568,9,True
green,0.6783599853515625,9,True
yellow,0.8468127250671387,9,True
yellow,0.680793046951294,9,True
green,1.8658268451690674,9,True
green,0.6425211429595947,9,True
yellow,0.8479418754577637,9,True
blue,1.1515450477600098,9,True
blue,3.0881898403167725,9,True
blue,2.7894468307495117,10,True
blue,0.6418092250823975,10,True
green,0.6781661510467529,10,True
yellow,0.7124998569488525,10,True
yellow,0.6421592235565186,10,True
green,0.8065598011016846,10,True
green,0.6776561737060547,10,True
yellow,0.8466379642486572,10,True
blue,0.8156099319458008,10,True
blue,1.1186201572418213,10,True
blue,1.3872690200805664,10,True
blue,3.8060669898986816,11,True
blue,0.7070848941802979,11,True
green,1.0496540069580078,11,True
yellow,0.8132500648498535,11,True
yellow,0.7799911499023438,11,True
green,0.9798879623413086,11,True
green,0.8824100494384766,11,True
yellow,0.8473742008209229,11,True
blue,1.0171091556549072,11,True
blue,0.8819940090179443,11,True
blue,1.112381935119629,11,True
yellow,0.9176690578460693,11,True
blue,2.6167678833007812,12,True
blue,0.6419777870178223,12,True
green,0.917492151260376,12,True
yellow,0.7799632549285889,12,True
yellow,0.6431441307067871,12,True
green,1.3233988285064697,12,True
green,0.7130558490753174,12,True
yellow,0.6783311367034912,12,True
blue,0.8119168281555176,12,True
blue,0.7444009780883789,12,True
blue,0.8123972415924072,12,True
yellow,1.490976095199585,12,True
red,1.052462100982666,12,True
blue,3.128085136413574,13,True
blue,0.575441837310791,13,True
green,0.7773571014404297,13,True
yellow,0.7099089622497559,13,True
yellow,0.5755109786987305,13,True
green,0.9162509441375732,13,True
green,0.6784439086914062,13,True
yellow,0.6435282230377197,13,True
blue,0.6813719272613525,13,True
blue,0.7139129638671875,13,True
blue,0.7466418743133545,13,True
yellow,0.747607946395874,13,True
red,0.7127470970153809,13,True
green,1.5599303245544434,13,True
blue,1.8685119152069092,14,True
blue,0.5777649879455566,14,True
green,2.4753427505493164,14,True
yellow,0.7830188274383545,14,True
yellow,0.6149778366088867,14,True
green,0.6767351627349854,14,True
green,0.6089050769805908,14,True
yellow,0.6436128616333008,14,True
blue,0.6774749755859375,14,True
blue,0.6778969764709473,14,True
blue,0.7465300559997559,14,True
yellow,1.0182483196258545,14,True
red,2.00299072265625,14,True
green,1.390300989151001,14,True
yellow,1.7986259460449219,14,True
blue,1.7001910209655762,15,True
blue,0.8404641151428223,15,True
green,0.815913200378418,15,True
yellow,1.049311876296997,15,True
yellow,2.136991024017334,15,True
green,0.815485954284668,15,True
green,0.7097110748291016,15,True
yellow,0.7471859455108643,15,True
blue,0.7430112361907959,15,True
blue,0.7134499549865723,15,True
blue,0.8476557731628418,15,True
yellow,1.1524019241333008,15,True
red,0.7462389469146729,15,True
green,0.7786741256713867,15,True
yellow,0.6752810478210449,15,True
green,0.7817738056182861,15,True
blue,1.8687927722930908,16,True
blue,0.6434018611907959,16,True
green,0.5756070613861084,16,True
yellow,0.6433789730072021,16,True
yellow,0.6100442409515381,16,True
green,0.8147971630096436,16,True
green,0.6070642471313477,16,True
yellow,0.5746889114379883,16,True
blue,0.6755721569061279,16,True
blue,0.5731360912322998,16,True
blue,0.6437609195709229,16,True
yellow,0.7456488609313965,16,True
red,1.8991007804870605,16,True
green,0.6088011264801025,16,True
yellow,0.6424880027770996,16,True
green,0.6778609752655029,16,True
blue,2.4005870819091797,16,False
