Event,Timestamp,Score,Correct
green,0.48025989532470703,0,True
green,0.6495599746704102,1,True
yellow,0.47098875045776367,1,True
green,0.6508448123931885,2,True
yellow,0.6088697910308838,2,True
red,0.5044369697570801,2,True
green,0.7154858112335205,3,True
yellow,0.5068788528442383,3,True
red,0.43974876403808594,3,True
green,0.4760301113128662,3,True
green,0.8510820865631104,4,True
yellow,0.5428478717803955,4,True
red,0.44104909896850586,4,True
green,0.5737330913543701,4,True
green,0.4429440498352051,4,True
green,1.2240939140319824,5,True
yellow,0.6786720752716064,5,True
red,0.5081160068511963,5,True
green,0.6806280612945557,5,True
green,0.6092572212219238,5,True
blue,0.741156816482544,5,True
green,1.190622091293335,6,True
yellow,0.6794331073760986,6,True
red,0.50885009765625,6,True
green,0.711932897567749,6,True
green,0.6125278472900391,6,True
blue,0.6733889579772949,6,True
blue,0.6135871410369873,6,True
green,1.4953727722167969,7,True
yellow,0.5749421119689941,7,True
red,0.5766148567199707,7,True
green,0.5783648490905762,7,True
green,0.5707499980926514,7,True
blue,0.6416151523590088,7,True
blue,0.5760619640350342,7,True
green,0.6132769584655762,7,True
green,2.9610419273376465,8,True
yellow,1.1152398586273193,8,True
red,0.577296257019043,8,True
green,0.6782960891723633,8,True
green,1.21635103225708,8,True
blue,0.6091349124908447,8,True
blue,0.6084640026092529,8,True
green,0.6428327560424805,8,True
red,0.713425874710083,8,True
green,3.5988552570343018,9,True
yellow,0.5100619792938232,9,True
red,0.5414330959320068,9,True
green,0.6768250465393066,9,True
green,0.5422000885009766,9,True
blue,0.6777009963989258,9,True
blue,0.713385820388794,9,True
green,1.1509432792663574,9,True
red,0.6440029144287109,9,True
blue,1.3567779064178467,9,True
green,3.2268600463867188,10,True
yellow,1.0156779289245605,10,True
red,0.5440220832824707,10,True
green,1.3538389205932617,10,True
green,2.0333352088928223,10,True
blue,0.6790647506713867,10,True
blue,0.7114379405975342,10,True
green,0.9137091636657715,10,True
red,0.7787859439849854,10,True
blue,0.8139619827270508,10,True
blue,0.7754368782043457,10,True
green,2.2422473430633545,11,True
yellow,0.8776829242706299,11,True
red,0.44087910652160645,11,True
green,0.5724139213562012,11,True
green,0.4714837074279785,11,True
blue,0.9490361213684082,11,True
blue,0.579613208770752,11,True
green,0.5764820575714111,11,True
red,0.5071830749511719,11,True
blue,0.9159612655639648,11,True
blue,0.6414909362792969,11,True
green,0.781343936920166,11,True
green,2.548891305923462,12,True
yellow,0.9160439968109131,12,True
red,0.4740407466888428,12,True
green,0.5779340267181396,12,True
green,0.5098791122436523,12,True
blue,0.6107921600341797,12,True
blue,0.6090850830078125,12,True
green,0.5763692855834961,12,True
red,0.5402779579162598,12,True
blue,0.6785831451416016,12,True
blue,0.6415450572967529,12,True
green,0.5728161334991455,12,True
red,0.6795730590820312,12,True
green,2.1052322387695312,13,True
yellow,0.9811630249023438,13,True
red,2.0287280082702637,13,True
green,0.7476992607116699,13,True
green,0.6410179138183594,13,True
blue,0.6778068542480469,13,True
blue,0.7065198421478271,13,True
green,0.8122591972351074,13,True
red,0.7432849407196045,13,True
blue,0.7126593589782715,13,True
blue,0.6766858100891113,13,True
green,0.7770030498504639,13,True
red,0.8152110576629639,13,True
red,0.7803671360015869,13,True
green,2.417423963546753,14,True
yellow,0.5729610919952393,14,True
red,0.5748789310455322,14,True
green,0.6794109344482422,14,True
green,0.6061170101165771,14,True
blue,0.5766799449920654,14,True
blue,0.5744490623474121,14,True
green,1.8681740760803223,14,True
red,0.6786229610443115,14,True
red,1.4539668560028076,14,False
