Event,Timestamp,Score,Correct
green,5.298058032989502,0,True
green,0.820239782333374,1,True
red,0.7125880718231201,1,True
green,0.8523552417755127,2,True
red,0.6748671531677246,2,True
red,0.541269063949585,2,True
green,0.6149930953979492,3,True
red,0.64599609375,3,True
red,0.5024089813232422,3,True
yellow,0.640711784362793,3,True
green,1.1901278495788574,4,True
red,0.6755120754241943,4,True
red,0.676994800567627,4,True
yellow,0.7100789546966553,4,True
yellow,0.6445591449737549,4,True
green,1.5321111679077148,5,True
red,0.7462310791015625,5,True
red,0.6781430244445801,5,True
yellow,0.7462420463562012,5,True
yellow,0.7109360694885254,5,True
blue,0.8139779567718506,5,True
green,1.971621036529541,6,True
red,0.8145718574523926,6,True
red,0.6089580059051514,6,True
yellow,0.7790160179138184,6,True
yellow,0.6456630229949951,6,True
blue,0.6434600353240967,6,True
red,0.749284029006958,6,True
green,1.902956247329712,7,True
red,0.9157860279083252,7,True
red,0.7078149318695068,7,True
yellow,0.984246015548706,7,True
yellow,0.6079940795898438,7,True
blue,0.7793710231781006,7,True
red,0.7757468223571777,7,True
red,1.2906410694122314,7,True
green,1.8738770484924316,8,True
red,0.7751758098602295,8,True
red,0.6801681518554688,8,True
yellow,0.8111531734466553,8,True
yellow,0.6444690227508545,8,True
blue,0.6438579559326172,8,True
red,0.8119850158691406,8,True
red,0.7435309886932373,8,True
yellow,0.8491621017456055,8,True
green,2.413983106613159,9,True
red,0.7444138526916504,9,True
red,0.678476095199585,9,True
yellow,0.9828569889068604,9,True
yellow,0.5761449337005615,9,True
blue,0.843235969543457,9,True
red,0.7763791084289551,9,True
red,0.7788312435150146,9,True
yellow,0.9139919281005859,9,True
red,1.4327011108398438,9,True
green,1.771162986755371,10,True
red,0.948185920715332,10,True
red,0.9501633644104004,10,True
yellow,0.7721982002258301,10,True
yellow,0.6769781112670898,10,True
blue,0.7111937999725342,10,True
red,1.459177017211914,10,True
red,0.7134478092193604,10,True
yellow,0.7115731239318848,10,True
red,0.7441079616546631,10,True
green,1.0470387935638428,10,True
green,1.4613261222839355,11,True
red,1.116744041442871,11,True
red,0.613440990447998,11,True
yellow,0.70878005027771,11,True
yellow,0.6433999538421631,11,True
blue,0.7427761554718018,11,True
red,1.8649139404296875,11,True
red,0.746222972869873,11,True
yellow,0.6778521537780762,11,True
red,0.6786329746246338,11,True
green,0.7122118473052979,11,True
green,1.250488042831421,11,True
green,1.5339510440826416,12,True
red,0.8440241813659668,12,True
red,0.6735868453979492,12,True
yellow,0.7786030769348145,12,True
yellow,0.6423008441925049,12,True
blue,0.6732642650604248,12,True
red,0.9515571594238281,12,True
red,1.1139709949493408,12,True
yellow,0.8489589691162109,12,True
red,0.7102968692779541,12,True
green,0.7137210369110107,12,True
green,1.4257211685180664,12,True
green,1.6633751392364502,12,True
green,2.7537460327148438,13,True
red,0.7777609825134277,13,True
red,0.743959903717041,13,True
yellow,0.9104530811309814,13,True
yellow,0.7452261447906494,13,True
blue,1.1523499488830566,13,True
red,0.8467457294464111,13,True
red,0.6773800849914551,13,True
yellow,0.9485900402069092,13,True
red,0.9480271339416504,13,True
green,0.8835136890411377,13,True
green,0.8146889209747314,13,True
green,1.3884270191192627,13,True
yellow,0.982886791229248,13,True
green,2.48292875289917,14,True
red,1.7618732452392578,14,True
red,0.6431469917297363,14,True
yellow,0.7149291038513184,14,True
yellow,0.6434218883514404,14,True
blue,0.8494529724121094,14,True
red,2.4784770011901855,14,True
red,0.6428589820861816,14,True
yellow,0.6763489246368408,14,True
red,0.8142719268798828,14,True
green,0.8100106716156006,14,True
green,0.8474729061126709,14,True
green,0.9167351722717285,14,True
yellow,1.0179510116577148,14,True
green,0.9168860912322998,14,True
green,3.1275181770324707,15,True
red,1.0488977432250977,15,True
red,0.6091101169586182,15,True
yellow,0.7455081939697266,15,True
yellow,0.6434869766235352,15,True
blue,1.6271908283233643,15,True
red,0.9522221088409424,15,True
red,0.6432523727416992,15,True
yellow,0.7401809692382812,15,True
red,2.6776907444000244,15,True
green,0.9141819477081299,15,True
green,0.7789068222045898,15,True
green,1.2863829135894775,15,True
yellow,0.8105480670928955,15,True
green,1.7295022010803223,15,True
red,2.410841941833496,15,True
green,2.376164197921753,16,True
red,0.6749119758605957,16,True
red,0.7820549011230469,16,True
yellow,0.7801840305328369,16,True
yellow,0.64410400390625,16,True
blue,1.9007868766784668,16,True
red,1.1880509853363037,16,True
red,0.6464071273803711,16,True
yellow,0.8123440742492676,16,True
red,0.9816701412200928,16,True
green,0.7809951305389404,16,True
green,0.7144968509674072,16,True
green,0.8129520416259766,16,True
yellow,0.7444291114807129,16,True
green,0.8129241466522217,16,True
red,1.7271790504455566,16,True
yellow,0.8122751712799072,16,True
green,2.3091070652008057,17,True
red,0.7060918807983398,17,True
red,0.5757927894592285,17,True
yellow,0.7453250885009766,17,True
yellow,0.884882926940918,17,True
blue,0.6105458736419678,17,True
red,0.7494189739227295,17,True
red,1.7958300113677979,17,True
yellow,1.3209619522094727,17,True
green,1.6950149536132812,17,False
