Event,Timestamp,Score
green,4.743083715438843,0
green,1.1470301151275635,1
red,0.4716620445251465,1
green,3.5988857746124268,2
red,0.5362088680267334,2
red,0.536240816116333,2
green,0.6751031875610352,3
red,0.5711870193481445,3
red,0.4722146987915039,3
blue,0.4709792137145996,3
green,0.842944860458374,4
red,0.5384597778320312,4
red,0.4682149887084961,4
blue,0.5394706726074219,4
blue,0.4330477714538574,4
green,0.838752031326294,5
red,0.5344970226287842,5
red,0.467055082321167,5
blue,0.5012362003326416,5
blue,0.4368267059326172,5
yellow,0.5071558952331543,5
green,0.8118419647216797,6
red,0.538330078125,6
red,0.47106409072875977,6
blue,0.6007437705993652,6
blue,0.43918800354003906,6
yellow,0.6375501155853271,6
yellow,0.44088101387023926,6
green,0.98415207862854,7
red,0.5383949279785156,7
red,0.4398369789123535,7
blue,0.7704269886016846,7
blue,0.43701672554016113,7
yellow,0.6703112125396729,7
yellow,0.5404520034790039,7
blue,0.5381579399108887,7
green,0.9756810665130615,8
red,0.5023469924926758,8
red,0.5393521785736084,8
blue,0.5716726779937744,8
blue,0.4371159076690674,8
yellow,0.5672330856323242,8
yellow,0.5001540184020996,8
blue,0.49979496002197266,8
blue,0.5033218860626221,8
green,1.0463800430297852,9
red,0.5689659118652344,9
red,0.5046930313110352,9
blue,0.9073348045349121,9
blue,0.47328710556030273,9
yellow,0.5687317848205566,9
yellow,0.5372991561889648,9
blue,0.9035789966583252,9
blue,1.0450618267059326,9
yellow,0.7025041580200195,9
green,1.6141080856323242,10
red,0.5043318271636963,10
red,0.5053870677947998,10
blue,0.7411289215087891,10
blue,0.5382070541381836,10
yellow,0.6714301109313965,10
yellow,0.5382230281829834,10
blue,0.6072728633880615,10
blue,0.5056917667388916,10
yellow,0.6031382083892822,10
blue,0.43601512908935547,10
green,0.9083170890808105,11
red,0.7735669612884521,11
red,0.5726962089538574,11
blue,0.6716470718383789,11
blue,0.47159409523010254,11
yellow,0.7684822082519531,11
yellow,0.4723398685455322,11
blue,2.621320962905884,11
blue,0.57098388671875,11
yellow,0.6754963397979736,11
blue,0.6033051013946533,11
yellow,0.707237958908081,11
green,0.9376518726348877,12
red,0.5663330554962158,12
red,0.536696195602417,12
blue,3.4922688007354736,12
blue,0.46996188163757324,12
yellow,0.6402432918548584,12
yellow,0.6724197864532471,12
blue,1.443789005279541,12
yellow,1.1767511367797852,0
yellow,0.4073197841644287,1
green,0.8440067768096924,1
yellow,1.0434658527374268,2
green,0.7028522491455078,2
green,0.43375492095947266,2
yellow,0.7076520919799805,3
green,0.43517112731933594,3
green,0.49964189529418945,3
yellow,0.4742569923400879,3
yellow,0.8392069339752197,4
green,0.5024600028991699,4
green,0.47038698196411133,4
yellow,0.46512794494628906,4
green,0.46767091751098633,4
yellow,2.0859241485595703,5
green,0.6422131061553955,5
green,0.5016827583312988,5
yellow,0.6028499603271484,5
green,0.46860599517822266,5
green,2.4490408897399902,5
yellow,1.0489108562469482,6
green,0.7358579635620117,6
green,0.5373742580413818,6
yellow,0.5294079780578613,6
green,0.5347099304199219,6
green,0.5718469619750977,6
green,0.5030977725982666,6
yellow,1.2140438556671143,7
green,0.43250179290771484,7
green,0.4656357765197754,7
yellow,0.6375620365142822,7
green,0.571162223815918,7
green,0.534308910369873,7
green,0.5356271266937256,7
green,0.5341129302978516,7
yellow,1.0145752429962158,8
green,0.5045502185821533,8
green,0.4374220371246338,8
yellow,0.6036560535430908,8
green,0.6361720561981201,8
green,0.4354691505432129,8
green,0.6046032905578613,8
green,0.5393209457397461,8
yellow,1.2810728549957275,8
yellow,1.211395025253296,9
green,0.4692878723144531,9
green,0.4378821849822998,9
yellow,0.5004501342773438,9
green,0.7374429702758789,9
green,0.4704098701477051,9
green,0.6048500537872314,9
green,0.5713541507720947,9
yellow,0.6065678596496582,9
red,0.5688352584838867,9
yellow,0.871441125869751,10
green,0.5374469757080078,10
green,0.6065740585327148,10
yellow,0.5039122104644775,10
green,0.6005120277404785,10
green,0.5449769496917725,10
green,0.5389158725738525,10
green,0.5374281406402588,10
yellow,0.6020479202270508,10
red,0.705437183380127,10
red,1.3477401733398438,10
yellow,1.0765666961669922,11
green,0.507889986038208,11
green,0.43748998641967773,11
yellow,0.6062800884246826,11
green,0.6739277839660645,11
green,0.46974897384643555,11
green,0.6067037582397461,11
