Event,Timestamp,Score,Correct
blue,0.5996818542480469,0,True
blue,0.7767477035522461,1,True
red,0.4712038040161133,1,True
blue,0.5756449699401855,2,True
red,0.6023581027984619,2,True
blue,0.5402388572692871,2,True
blue,0.5700349807739258,3,True
red,0.5378220081329346,3,True
blue,0.4352691173553467,3,True
green,0.47133302688598633,3,True
blue,1.0840919017791748,4,True
red,0.4379603862762451,4,True
blue,0.43663620948791504,4,True
green,0.475247859954834,4,True
blue,0.4681100845336914,4,True
blue,0.9435358047485352,5,True
red,0.49828505516052246,5,True
blue,0.47153687477111816,5,True
green,0.4733002185821533,5,True
blue,0.4389801025390625,5,True
green,0.5033202171325684,5,True
blue,1.6442570686340332,6,True
red,0.4997398853302002,6,True
blue,0.4340939521789551,6,True
green,0.5031862258911133,6,True
blue,0.5022778511047363,6,True
green,0.5033621788024902,6,True
blue,0.47132086753845215,6,True
blue,1.1174910068511963,7,True
red,0.4416651725769043,7,True
blue,0.43305110931396484,7,True
green,0.4388699531555176,7,True
blue,0.4359931945800781,7,True
green,0.47205519676208496,7,True
blue,0.43950319290161133,7,True
red,0.46875,7,True
blue,1.1136929988861084,8,True
red,0.53432297706604,8,True
blue,0.5012810230255127,8,True
green,0.5681667327880859,8,True
blue,0.5351829528808594,8,True
green,0.5734241008758545,8,True
blue,0.5063087940216064,8,True
red,0.5384881496429443,8,True
red,0.540759801864624,8,True
blue,1.143432855606079,9,True
red,0.5059022903442383,9,True
blue,0.5744302272796631,9,True
green,0.5069990158081055,9,True
blue,0.5062153339385986,9,True
green,0.5382320880889893,9,True
blue,0.5750620365142822,9,True
red,0.5694401264190674,9,True
red,0.5715498924255371,9,True
green,0.5020430088043213,9,True
blue,1.0757040977478027,10,True
red,0.5041470527648926,10,True
blue,0.534930944442749,10,True
green,0.46956896781921387,10,True
blue,0.535315752029419,10,True
green,0.5029830932617188,10,True
blue,0.5398359298706055,10,True
red,0.7375810146331787,10,True
red,0.5710270404815674,10,True
green,0.5369689464569092,10,True
green,0.6032609939575195,10,True
blue,1.2155461311340332,11,True
red,0.5697877407073975,11,True
blue,0.5722789764404297,11,True
green,0.5745079517364502,11,True
blue,0.9426541328430176,11,True
green,0.5701789855957031,11,True
blue,0.5380699634552002,11,True
red,0.5723841190338135,11,True
red,0.5395591259002686,11,True
green,0.6427180767059326,11,True
green,0.5732710361480713,11,True
green,0.5361177921295166,11,True
blue,1.5193150043487549,12,True
red,0.570681095123291,12,True
blue,0.6738557815551758,12,True
green,0.5354001522064209,12,True
blue,0.5673620700836182,12,True
green,0.6383609771728516,12,True
blue,0.7074248790740967,12,True
red,0.6386549472808838,12,True
red,0.5742330551147461,12,True
green,0.6032779216766357,12,True
green,0.6041791439056396,12,True
green,0.5733070373535156,12,True
blue,0.6077280044555664,12,True
blue,1.5131797790527344,13,True
red,0.6064109802246094,13,True
blue,0.4390130043029785,13,True
green,0.5721402168273926,13,True
blue,0.539391040802002,13,True
green,0.5694060325622559,13,True
blue,0.5362648963928223,13,True
red,0.5392460823059082,13,True
red,0.5387718677520752,13,True
green,0.570213794708252,13,True
green,0.5377411842346191,13,True
green,1.376405954360962,13,True
blue,1.2005109786987305,13,True
blue,0.7980937957763672,13,True
blue,1.0720183849334717,14,True
red,0.801325798034668,14,True
blue,0.8014709949493408,14,True
green,0.496384859085083,14,True
blue,0.5337860584259033,14,True
green,0.56600022315979,14,True
blue,0.5012738704681396,14,True
red,0.602463960647583,14,True
red,0.5971779823303223,14,True
green,1.0699529647827148,14,True
green,0.5707688331604004,14,True
green,0.5286011695861816,14,True
blue,0.5999758243560791,14,True
blue,0.7675173282623291,14,True
green,0.766472339630127,14,True
blue,1.584061861038208,15,True
red,0.6060209274291992,15,True
blue,0.6012508869171143,15,True
green,0.5028438568115234,15,True
blue,0.5706110000610352,15,True
green,0.6030750274658203,15,True
blue,1.146317720413208,15,True
red,0.5670337677001953,15,True
red,0.6077868938446045,15,True
green,0.5705208778381348,15,True
green,0.6082489490509033,15,True
green,0.5689108371734619,15,True
blue,1.546478033065796,15,True
blue,0.6732752323150635,15,True
green,1.2765412330627441,15,True
red,0.9409589767456055,15,True
blue,1.313058853149414,16,True
red,0.5729048252105713,16,True
blue,1.0419960021972656,16,True
green,0.6067838668823242,16,True
blue,0.5697300434112549,16,True
green,0.6385419368743896,16,True
blue,0.6391959190368652,16,True
red,1.1420848369598389,16,True
red,0.6037590503692627,16,True
green,0.6018679141998291,16,True
green,0.6065070629119873,16,True
green,0.5732529163360596,16,True
blue,1.4106957912445068,16,True
blue,1.1729252338409424,16,True
green,1.0800697803497314,16,True
red,0.6405513286590576,16,True
yellow,0.6000547409057617,16,True
blue,1.1792240142822266,17,True
red,0.5028023719787598,17,True
blue,0.5028727054595947,17,True
green,0.5401170253753662,17,True
blue,0.537822961807251,17,True
green,0.6069588661193848,17,True
blue,1.3226690292358398,17,True
red,0.6104238033294678,17,True
red,0.5724220275878906,17,True
green,0.6383848190307617,17,True
green,0.6395068168640137,17,True
green,0.5674669742584229,17,True
blue,0.7744021415710449,17,True
blue,0.5682361125946045,17,True
green,0.6062462329864502,17,True
red,0.6117019653320312,17,True
yellow,0.5734069347381592,17,True
yellow,0.6428430080413818,17,True
blue,1.789910078048706,18,True
red,0.6014347076416016,18,True
blue,0.5744907855987549,18,True
green,0.571951150894165,18,True
blue,0.5696089267730713,18,True
green,0.6012792587280273,18,True
blue,0.5372378826141357,18,True
red,0.5695819854736328,18,True
red,0.5372180938720703,18,True
green,0.6421632766723633,18,True
green,0.5752861499786377,18,True
green,0.5737617015838623,18,True
blue,0.6009960174560547,18,True
blue,0.6094441413879395,18,True
green,0.5741291046142578,18,True
red,0.5399470329284668,18,True
yellow,0.602410078048706,18,True
yellow,0.6074211597442627,18,True
blue,0.640064001083374,18,True
blue,1.2193872928619385,19,True
red,0.5681920051574707,19,True
blue,0.5015969276428223,19,True
green,0.7401010990142822,19,True
blue,0.6413059234619141,19,True
red,1.5538740158081055,19,False
blue,8.047445058822632,0,True
blue,1.4851970672607422,1,True
red,0.4335188865661621,1,True
blue,0.8739829063415527,2,True
red,0.5699687004089355,2,True
blue,0.5010290145874023,2,True
blue,1.0112578868865967,3,True
red,0.5044429302215576,3,True
blue,0.5713000297546387,3,True
