Event,Timestamp,Score
green,102.83942604064941,0
green,1.397190809249878,1
green,0.4393737316131592,1
green,0.8839659690856934,2
green,0.4385862350463867,2
red,0.44067883491516113,2
green,1.2968862056732178,3
green,0.4377448558807373,3
red,0.4415769577026367,3
green,0.440201998,3
green,0.9214878082275391,4
green,0.44147300720214844,4
red,0.43866896629333496,4
green,0.47902798652648926,4
blue,0.4757881164550781,4
green,1.327800989151001,5
green,0.4419441223144531,5
red,0.4418947696685791,5
green,0.44115304946899414,5
blue,0.47331881523132324,5
green,0.4417130947113037,5
green,1.023015022277832,6
green,0.5439631938934326,6
red,0.4743490219116211,6
green,0.47538113594055176,6
blue,0.5070309638977051,6
green,0.4393939971923828,6
blue,0.5468716621398926,6
green,0.6143178939819336,7
green,0.5068011283874512,7
red,0.5081181526184082,7
green,0.5772738456726074,7
blue,0.5763921737670898,7
green,0.5421631336212158,7
blue,0.5775198936462402,7
blue,0.5432357788085938,7
green,0.9179720878601074,8
green,0.44109606742858887,8
red,0.4435920715332031,8
green,0.4743921756744385,8
blue,0.5421438217163086,8
green,0.4404628276824951,8
blue,0.5441501140594482,8
blue,0.4746081829071045,8
yellow,0.4742610454559326,8
green,0.6491289138793945,9
green,0.5378012657165527,9
red,0.5096180438995361,9
green,0.5081353187561035,9
blue,0.5814640522003174,9
green,0.5750336647033691,9
blue,0.5416660308837891,9
blue,0.5113730430603027,9
yellow,0.5770320892333984,9
red,0.5086071491241455,9
green,1.1559879779815674,10
green,0.44477105140686035,10
red,0.4733707904815674,10
green,0.5429987907409668,10
blue,0.6131420135498047,10
green,0.4416310787200928,10
blue,0.5056459903717041,10
blue,0.5768518447875977,10
yellow,0.6102550029754639,10
red,0.43982577323913574,10
yellow,0.5112929344177246,10
green,0.714515209,11
green,0.47250986099243164,11
red,0.4745979309082031,11
green,0.5434880256652832,11
blue,0.5745749473571777,11
green,0.5053870677947998,11
blue,0.6452229022979736,11
blue,0.5762717723846436,11
yellow,0.675483227,11
red,0.5084879398345947,11
yellow,0.5100789070129395,11
yellow,0.5433142185211182,11
green,1.2278568744659424,12
green,0.47457408905029297,12
red,0.47545504570007324,12
green,0.540858269,12
blue,0.5777981281280518,12
green,0.5085608959197998,12
blue,0.5782647132873535,12
blue,0.5756957530975342,12
yellow,0.4745941162109375,12
red,0.476909876,12
yellow,0.5420281887054443,12
yellow,0.4742891788482666,12
red,0.5763163566589355,12
green,1.1216278076171875,13
green,0.5101540088653564,13
red,0.444364071,13
green,0.5084531307220459,13
blue,0.5431699752807617,13
green,0.5753903388977051,13
blue,0.506943941,13
blue,0.4792499542236328,13
yellow,0.5074930191040039,13
red,0.506659985,13
yellow,0.5419929027557373,13
yellow,0.47557711601257324,13
red,0.5789680480957031,13
blue,0.5081350803375244,13
green,1.125166893005371,14
green,0.47609972953796387,14
red,0.47527194023132324,14
green,0.5077400207519531,14
blue,0.5434360504150391,14
green,0.5419661998748779,14
blue,0.5087192058563232,14
blue,0.5088849067687988,14
yellow,0.5098476409912109,14
red,0.5078208446502686,14
yellow,0.5096418857574463,14
yellow,0.5079348087310791,14
red,0.5776839256286621,14
blue,0.5099799633026123,14
red,0.5437259674072266,14
green,0.7889430522918701,15
green,0.47383594512939453,15
red,0.44306373596191406,15
green,0.5067157745361328,15
blue,0.5396380424499512,15
green,0.5414528846740723,15
blue,0.5439858436584473,15
blue,0.6102731227874756,15
yellow,0.544666052,15
red,0.509990931,15
yellow,0.5087528228759766,15
yellow,0.510840893,15
red,0.544154167,15
blue,0.542949915,15
red,0.5435440540313721,15
red,0.5125350952148438,15
green,1.128199815750122,16
green,0.4692540168762207,16
red,0.47356700897216797,16
green,0.5089600086212158,16
blue,0.5744328498840332,16
green,0.5749919414520264,16
blue,0.5442378520965576,16
blue,0.6097931861877441,16
yellow,0.5788400173187256,16
red,0.5085439682006836,16
yellow,0.5786159038543701,16
yellow,0.6441199779510498,16
red,0.6442210674285889,16
blue,0.546008825,16
red,1.1511030197143555,16
red,0.6131398677825928,16
red,0.778968096,16
green,0.9909958839416504,17
green,0.4742257595062256,17
red,0.4402501583099365,17
green,0.511167049,17
blue,0.505753756,17
green,0.54204607,17
blue,0.545767069,17
blue,0.5763731002807617,17
yellow,0.8810088634490967,17
red,0.5110008716583252,17
yellow,0.5433058738708496,17
yellow,0.5094389915466309,17
red,0.5788018703460693,17
blue,0.5093450546264648,17
red,0.5745820999145508,17
red,0.5449719429016113,17
red,0.5433993339538574,17
green,0.47312307357788086,17
green,1.2321550846099854,18
green,0.474412203,18
red,0.4602491855621338,18
green,0.5075929164886475,18
blue,0.5426409244537354,18
green,0.5111689567565918,18
blue,0.544389009,18
blue,0.5424182415008545,18
yellow,0.5094070434570312,18
red,0.47353291511535645,18
yellow,0.5440959930419922,18
yellow,0.5088701248168945,18
red,0.5760519504547119,18
blue,0.5435938835144043,18
red,0.5402932167053223,18
red,0.5413269996643066,18
red,0.5415151119232178,18
green,0.5080969333648682,18
blue,0.5754680633544922,18
green,1.0904960632324219,19
green,0.44229984283447266,19
green,19.01020836830139,0
green,0.4125669002532959,1
green,50.93317723274231,0
green,1.056161880493164,1
red,0.44007325172424316,1
green,0.8181560039520264,2
red,0.4440741539001465,2
green,0.4386599063873291,2
green,0.6501097679138184,3
red,0.4403200149536133,3
green,0.440777063,3
red,0.4409639835357666,3
green,0.9913349151611328,4
red,0.44146203994750977,4
green,0.4419558048248291,4
red,0.43927979469299316,4
green,0.4424271583557129,4
green,0.580664873,5
red,0.4376060962677002,5
green,0.44167494773864746,5
